Time,Week,cap4-SMA,cap3-AC,cap2-FSS,cap1-subsoil,cnd4-SMA,cnd3-AC,cnd2-FSS,cnd1-subsoil
64108800,106,380,660,670,620,2.1,1.4,2.4,2.5
64713600,107,380,660,670,620,2.1,1.4,2.4,2.5
65318400,108,380,660,670,620,2.1,1.4,2.4,2.5
65923200,109,990,580,510,700,2.4,0.9,1.5,1.9
66528000,110,990,580,510,700,2.4,0.9,1.5,1.9
67132800,111,350,300,850,990,0.8,0.5,2.4,2.5
67737600,112,350,300,850,990,0.8,0.5,2.4,2.5
68342400,113,560,630,390,530,2.1,0.9,2.5,1.5
68947200,114,560,630,390,530,2.1,0.9,2.5,1.5
69552000,115,1000,460,380,810,2.1,0.7,1.1,0.8
70156800,116,930,610,470,600,2.2,0.9,1.6,1.5
70761600,117,570,620,430,400,1.8,0.9,1.5,1.5
71366400,118,500,840,650,720,2.4,1.3,2.1,2.2
71971200,119,700,840,570,550,2.5,1.2,2.1,2.4
72576000,120,700,840,570,550,2.5,1.2,2.1,2.4
